age,d13,d13_sd,d18,d18_sd,d13o,d13o_sd,dp17,dp17.sd,,,,,,,,
2387,-4.2,0.84,-9.7,0.22,-24.50,0.08,,,,,,,,,,
2465,-1.4,0.64,-9.3,0.19,-20.81,0.57,,,,,,,,,,
2547,-1.2,0.47,-9.5,0.35,-22.07,1.32,,,,,,,,,,
2716,-3.6,0.05,-8.2,0.32,-23.72,0.68,,,,,,,,,,
2775,-2.3,0.30,-8.3,0.20,-22.07,0.47,,,,,,,,,,
2802,-3.1,0.12,-8.5,0.45,-23.02,0.69,,,,,,,,,,
2827,-2.9,0.37,-8.6,0.35,-22.93,0.62,,,,,,,,,,
2883,-3.0,0.31,-9.4,0.39,-22.56,0.67,,,,,,,,,,
2910,-1.8,0.40,-9.2,0.27,-22.20,0.48,,,,,,,,,,
3029,-4.1,0.13,-9.5,0.59,-22.43,0.30,,,,,,,,,,
3075,-1.9,0.22,-9.1,0.47,-22.30,0.81,-102,15,,,,,,,,
3102,-1.8,0.15,-9.1,0.48,-22.25,0.60,,,,,,,,,,
3152,-2.7,0.10,-9.2,0.14,-21.81,0.44,,,,,,,,,,
3199,-2.1,0.21,-8.7,0.15,-23.04,0.49,,,,,,,,,,
3343,-2.4,0.34,-9.2,0.06,-22.81,0.69,,,,,,,,,,
3386,-4.2,0.22,-9.2,0.11,-23.13,0.95,,,,,,,,,,
3436,-3.2,0.09,-8.4,0.05,-21.84,0.75,,,,,,,,,,
3449,-3.2,0.20,-8.9,0.03,-22.19,0.84,,,,,,,,,,
3468,-3.0,0.22,-9.1,0.42,-21.45,0.87,,,,,,,,,,
3483,-1.9,0.19,-8.9,0.49,-21.22,0.64,-103,15,,,,,,,,
3499,-2.1,0.18,-9.0,0.03,-22.56,1.43,,,,,,,,,,
3514,-2.3,0.22,-8.2,0.43,-23.14,0.47,,,,,,,,,,
3527,-3.4,0.30,-8.5,0.30,-22.74,0.76,,,,,,,,,,
3539,-4.4,0.22,-8.8,0.05,-22.46,0.60,,,,,,,,,,
3561,-4.2,0.21,-9.3,0.12,-21.38,0.53,,,,,,,,,,
3577,-2.7,0.41,-8.6,0.21,-21.82,0.79,,,,,,,,,,
3632,-4.8,0.12,-9.1,0.29,-21.84,0.56,,,,,,,,,,
3694,-5.3,0.49,-9.2,0.73,-21.36,0.65,,,,,,,,,,
3746,-4.9,0.29,-8.8,0.57,-22.52,0.97,,,,,,,,,,
3787,-4.7,0.25,-8.5,0.07,-22.92,0.67,,,,,,,,,,
3839,-5.1,0.08,-8.7,0.01,-22.24,0.60,,,,,,,,,,
3890,-4.9,0.23,-8.5,0.01,-23.86,0.98,,,,,,,,,,
3901,-4.3,0.18,-8.6,0.46,-23.17,0.95,,,,,,,,,,
3952,-4.6,0.13,-8.5,0.38,-23.49,0.64,,,,,,,,,,
4004,-5.3,0.52,-8.5,0.59,-23.57,0.44,,,,,,,,,,
4056,-4.9,0.18,-7.1,0.61,-22.94,0.36,,,,,,,,,,
4108,-4.8,0.36,-8.4,0.04,-23.19,0.86,,,,,,,,,,
4159,-4.7,0.13,-8.8,0.15,-23.81,0.82,,,,,,,,,,
4201,-4.5,0.25,-8.4,1.06,-22.32,0.50,,,,,,,,,,
4235,-4.1,0.24,-8.2,0.33,-22.45,0.49,,,,,,,,,,
4269,-4.2,0.21,-8.9,0.05,-22.96,0.94,,,,,,,,,,
4353,-3.7,0.17,-8.7,0.29,-23.11,1.61,-118,15,,,,,,,,
4499,-3.7,0.27,-9.0,0.54,-22.80,0.42,,,,,,,,,,
4541,-4.2,0.08,-8.4,0.23,-23.31,0.59,,,,,,,,,,
4725,-5.2,0.35,-9.0,0.69,-23.53,0.51,,,,,,,,,,
